Discipline_Code,Discipline_Name_E,Discipline_Name_P,Package_Code,Package_Name_E,Package_Name_P
AR,Architecture,معماری,AR01,Cover Sheet & List of Drawings,جلد و فهرست کلیه نقشه‌ها
AR,Architecture,معماری,AR02,General Notes,اطلاعات کلی
AR,Architecture,معماری,AR03,Abbreviation,علائم اختصاری کلی
AR,Architecture,معماری,AR04,Finishing Schedule,جدول نازک‌کاری
AR,Architecture,معماری,AR05,Table of Area,جدول مساحت
AR,Architecture,معماری,AR06,Site Plan,سایت پلان
AR,Architecture,معماری,AR07,plan,پلان
AR,Architecture,معماری,AR08,Floor Plan & Table of Area,پلان طبقات و جدول مساحت
AR,Architecture,معماری,AR09,Construction Floor Plan,پلان اجرایی
AR,Architecture,معماری,AR10,Reference Plan,پلان مرجع
AR,Architecture,معماری,AR11,Furniture Plan,پلان مبلمان
AR,Architecture,معماری,AR12,Flooring Plan,پلان کف‌سازی
AR,Architecture,معماری,AR13,Area Plan,پلان مساحت
AR,Architecture,معماری,AR14,Slab & Opening Plan,پلان اسلب و بازشوها
AR,Architecture,معماری,AR15,Reflected Ceiling Plan,پلان سقف کاذب
AR,Architecture,معماری,AR16,Section,مقطع
AR,Architecture,معماری,AR17,Wall Section,مقطع دیوار خارجی
AR,Architecture,معماری,AR18,Elevation,نما
AR,Architecture,معماری,AR19,Interior Elevation,نمای داخلی
AR,Architecture,معماری,AR20,Door Types,تیپ‌بندی درب‌ها
AR,Architecture,معماری,AR21,Window Types,تیپ‌بندی پنجره‌ها
AR,Architecture,معماری,AR22,Closet Types,تیپ‌بندی کمدها
AR,Architecture,معماری,AR23,Detail,دیتیل
AR,Architecture,معماری,AR24,Stair Enlarged Plan,بزرگنمایی پله
AR,Architecture,معماری,AR25,Rest Room Enlarged Plan,بزرگنمایی سرویس بهداشتی
AR,Architecture,معماری,AR26,Pantry Enlarged Plan,بزرگنمایی آبدارخانه
AR,Architecture,معماری,AR27,Lobby Enlarged Plan,بزرگنمایی لابی
AR,Architecture,معماری,AR28,Prayer Room Enlarged Plan,بزرگنمایی نمازخانه
AR,Architecture,معماری,AR29,Main Entrance Enlarged Plan,بزرگنمایی ورودی‌های اصلی
AR,Architecture,معماری,AR30,Enlarged Plan,بزرگنمایی
AR,Architecture,معماری,AR31,Exterior View,تصاویر خارجی
AR,Architecture,معماری,AR32,Interior View,تصاویر داخلی
AR,Architecture,معماری,AR33,Facade Committee Album,دفترچه کمیته نما
AR,Architecture,معماری,AR34,Architectural Drawings (M),نقشه‌های معماری (M)
AR,Architecture,معماری,AR35,Architectural Drawings (F),نقشه‌های معماری (F)
AR,Architecture,معماری,AR36,Technical Specifications,مشخصات فنی خصوصی
AR,Architecture,معماری,AR37,Wall Details and Non-Structural Elements,جزئیات دیوارچینی و اجزای غیرسازه‌ای
AR,Architecture,معماری,AR38,Wall Executive Plan,پلان اجرایی دیوارچینی
AR,Architecture,معماری,AR39,Storage Room Doors Detail,جزئیات درب انباری
AR,Architecture,معماری,AR40,Floor Finishing Detail of Basement Levels,جزئیات کف‌سازی طبقات منفی
AR,Architecture,معماری,AR41,West Side Flashing Detail,جزئیات فلاشینگ سمت غربی
AR,Architecture,معماری,AR42,Enlarged Ceiling,بزرگنمایی سقف کاذب
AR,Architecture,معماری,AR43,Enlarged Ramp,بزرگنمایی رمپ
AR,Architecture,معماری,AR44,Enlarged Flooring,بزرگنمایی کف‌سازی
AR,Architecture,معماری,AR45,Enlarged Stair,بزرگنمایی پله
AR,Architecture,معماری,AR46,Enlarged Wet Area,بزرگنمایی فضاهای تر
AR,Architecture,معماری,AR47,Lift Lobby,بزرگنمایی لابی آسانسور
AR,Architecture,معماری,AR48,Lift,بزرگنمایی آسانسور
ME,Mechanical,مکانیک,ME01,Cover Sheet & List Of Drawings,جلد و فهرست کلیه نقشه‌ها
ME,Mechanical,مکانیک,ME02,General Notes,اطلاعات کلی
ME,Mechanical,مکانیک,ME03,Abbreviation,علائم اختصار کلی
ME,Mechanical,مکانیک,ME04,Mechanical MTO,متره اقلام مکانیکی
ME,Mechanical,مکانیک,ME05,Mechanical Standard Details,جزئیات اجرایی نصب تجهیزات مکانیکی
ME,Mechanical,مکانیک,ME06,Mechanical Loads on Structure Layout,بارهای عمده تجهیزات مکانیکی بر روی سازه
ME,Mechanical,مکانیک,ME07,Mechanical Report,گزارش فاز یک مکانیک
ME,Mechanical,مکانیک,ME08,Mechanical System Calculations,دفترچه محاسبات تاسیسات مکانیکی
ME,Mechanical,مکانیک,ME09,Shaft Arrangement Layout,چیدمان بازشوهای تاسیساتی
ME,Mechanical,مکانیک,ME10,Exhaust & Ventilation Riser Diagram,دیاگرام کانال‌کشی تخلیه هوا
ME,Mechanical,مکانیک,ME11,Exhaust & Ventilation Duct Layout,پلان کانال‌کشی تخلیه هوا
ME,Mechanical,مکانیک,ME12,Jet Fan Layout,پلان چیدمان جت فن
ME,Mechanical,مکانیک,ME13,HVAC Equipment Arrangement Plan,پلان جانمایی تجهیزات سیستم گرمایش و سرمایش
ME,Mechanical,مکانیک,ME14,HVAC Air Ducting System Riser Diagram,دیاگرام کانال‌کشی سیستم تهویه مطبوع
ME,Mechanical,مکانیک,ME15,HVAC Air Ducting System Layout,پلان کانال‌کشی سیستم تهویه مطبوع
ME,Mechanical,مکانیک,ME16,Mechanical Room Equipment Arrangement Plan,پلان جانمایی تجهیزات موتورخانه
ME,Mechanical,مکانیک,ME17,Mechanical Room Piping Flow Diagram,فلو دیاگرام لوله‌کشی موتورخانه
ME,Mechanical,مکانیک,ME18,Mechanical Room Equipment Foundation Layout,پلان فونداسیون تجهیزات موتورخانه
ME,Mechanical,مکانیک,ME19,Equipment Installation Standard Details,استاندارد دیتیل استقرار و نصب تجهیزات
ME,Mechanical,مکانیک,ME20,Ducting Installation Standard Details,استاندارد دیتیل کانال‌کشی
ME,Mechanical,مکانیک,ME21,Mechanical Equipment Data Sheet,مشخصات فنی تجهیزات تاسیسات مکانیکی
ME,Mechanical,مکانیک,ME22,"Sewage, Vent & Rain Drain Riser Diagram",دیاگرام لوله‌کشی فاضلاب و آب باران
ME,Mechanical,مکانیک,ME23,"Sewage, Vent & Rain Drain Layout",پلان لوله‌کشی فاضلاب و آب باران
ME,Mechanical,مکانیک,ME24,Domestic Hot & Cold Water Riser Diagram,دیاگرام لوله‌کشی آب سرد و گرم مصرفی
ME,Mechanical,مکانیک,ME25,Domestic Hot & Cold Water Layout,پلان لوله‌کشی آب سرد و گرم مصرفی
